x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,f
-294.2,-27.201,-0.25992,-0.34449,0.35311,0.78963,23.57,-0.00095096,2.734,0.00015048,5.42E-05,5.42E-05,5.65E-05,0.00020924,-1.81E-08,3.40E-06,-3.01E-08,5.66E-05,-0.041959
456.8,8.7988,0.42008,-0.03449,0.65311,-4.2104,9.5698,0.003049,-0.066022,-0.00034952,-0.00014585,-0.00014583,-0.00014346,-0.00019076,-1.81E-08,3.40E-06,-3.01E-08,-0.00014342,0.053351
127.8,8.7988,0.070076,0.09551,-0.14689,-8.2104,3.5698,0.001049,-0.066022,-0.00064952,-0.00064585,-0.00064583,-0.00064346,9.24E-06,-1.81E-08,3.40E-06,-3.01E-08,-0.00064342,0.3296
231.8,-29.201,0.19008,0.02551,0.55311,-6.2104,6.5698,-0.00095096,-0.16602,-0.00054952,-0.00044585,-0.00044583,-0.00044346,-0.00019076,-1.81E-08,3.40E-06,-3.01E-08,-0.00044342,0.097803
432.8,-9.2012,-0.23992,-0.03449,0.25311,4.7896,-1.4302,-0.005951,0.13398,0.00025048,0.00015415,0.00015417,0.00015654,0.00010924,-1.81E-08,3.40E-06,-3.01E-08,0.00015658,0.22041
-119.2,0.79878,0.040076,0.20551,-0.14689,-8.2104,-10.43,-0.013951,-0.16602,-0.00074952,-0.00074585,-0.00074583,-0.00074346,9.24E-06,-1.81E-08,3.40E-06,-3.01E-08,-0.00074342,0.0068313
40.796,14.799,0.38008,0.14551,-1.6469,-7.2104,-7.4302,0.031049,-0.16602,0.00025048,0.00025415,0.00025417,0.00025654,9.24E-06,-1.81E-08,3.40E-06,-3.01E-08,0.00025658,-0.093252
328.8,-0.20122,-0.049924,-0.07449,-0.84689,2.7896,3.5698,0.005049,0.33398,0.00035048,0.00035415,0.00035417,0.00035654,9.24E-06,-1.81E-08,3.40E-06,-3.01E-08,0.00035658,-0.093252
564.8,-26.201,-0.30992,-0.08449,0.053106,2.7896,12.57,0.005049,-1.766,0.00025048,0.00025415,0.00025417,0.00025654,9.24E-06,-1.81E-08,3.40E-06,-3.01E-08,0.00025658,-0.2651
23.796,-1.2012,0.050076,-0.06449,-0.84689,-3.2104,7.5698,4.90E-05,0.33398,-4.95E-05,-4.58E-05,-4.58E-05,-4.35E-05,9.24E-06,-1.81E-08,3.40E-06,-3.01E-08,-4.34E-05,-0.14732
566.8,-0.20122,0.47008,-0.09449,1.1531,3.7896,5.5698,0.003049,-0.066022,0.00035048,0.00035415,0.00035417,0.00035654,-9.08E-05,-1.81E-08,3.40E-06,-3.01E-08,0.00035658,-0.041959
-313.2,-14.201,-0.089924,-0.04449,0.35311,4.7896,-0.43021,-0.002951,-0.066022,0.00035048,0.00035415,0.00035417,0.00035654,9.24E-06,-1.81E-08,3.40E-06,-3.01E-08,0.00035658,-0.14732
46.796,-22.201,-0.099924,-0.17449,0.053106,3.7896,13.57,-0.007951,-0.36602,0.00025048,0.00025415,0.00025417,0.00015654,9.24E-06,-1.81E-08,3.40E-06,-3.01E-08,0.00015658,-0.2651
344.8,-25.201,0.090076,-0.07449,-1.6469,-2.2104,8.5698,0.010049,-0.26602,0.00015048,0.00015415,0.00015417,0.00015654,9.24E-06,-1.81E-08,3.40E-06,-3.01E-08,0.00015658,-0.14732
317.8,10.799,0.20008,-0.12449,-0.14689,2.7896,5.5698,0.007049,1.034,0.00035048,0.00035415,0.00035417,0.00035654,9.24E-06,-1.81E-08,3.40E-06,-3.01E-08,0.00035658,-0.14732
-56.204,7.7988,7.59E-05,0.06551,0.75311,5.7896,-13.43,-0.007951,0.033978,0.00025048,0.00025415,0.00025417,0.00025654,9.24E-06,-1.81E-08,3.40E-06,-3.01E-08,0.00025658,-0.20448
-245.2,-16.201,0.29008,-0.02449,0.55311,-7.2104,12.57,-0.002951,0.43398,-0.00034952,-0.00034585,-0.00034583,-0.00034346,9.24E-06,-1.81E-08,3.40E-06,-3.01E-08,-0.00034342,-0.041959
658.8,-8.2012,0.13008,-0.17449,-0.54689,4.7896,12.57,0.006049,-0.16602,0.00035048,0.00035415,0.00035417,0.00035654,9.24E-06,-1.81E-08,3.40E-06,-3.01E-08,0.00035658,0.29451
0.79577,24.799,0.33008,0.00551,-0.34689,2.7896,-3.4302,0.007049,-0.066022,0.00035048,0.00035415,0.00035417,0.00035654,9.24E-06,-1.81E-08,3.40E-06,-3.01E-08,0.00035658,0.053351
-161.2,-5.2012,-0.27992,-0.01449,0.35311,2.7896,-3.4302,-0.003951,0.13398,0.00025048,0.00025415,0.00025417,0.00015654,9.24E-06,-1.81E-08,3.40E-06,-3.01E-08,0.00015658,-0.20448
-67.204,22.799,0.14008,-0.03449,0.15311,4.7896,-1.4302,0.006049,-0.066022,0.00045048,0.00045415,0.00045417,0.00045654,9.24E-06,-1.81E-08,3.40E-06,-3.01E-08,0.00045658,-0.20448
201.8,-15.201,0.39008,-0.00449,0.85311,0.78963,-1.4302,-0.004951,-0.26602,5.05E-05,5.42E-05,5.42E-05,5.65E-05,-0.00019076,-1.81E-08,3.40E-06,-3.01E-08,5.66E-05,-0.093252
382.8,23.799,0.27008,-0.01449,-0.34689,4.7896,-3.4302,0.006049,0.033978,0.00045048,0.00045415,0.00045417,0.00045654,9.24E-06,-1.81E-08,3.40E-06,-3.01E-08,0.00045658,-0.093252
259.8,0.79878,0.070076,-0.07449,0.053106,0.78963,6.5698,0.001049,-0.066022,0.00015048,0.00015415,0.00015417,0.00015654,9.24E-06,-1.81E-08,3.40E-06,-3.01E-08,0.00015658,-0.14732
553.8,-39.201,-0.27992,-0.28449,-1.7469,2.7896,25.57,0.021049,0.53398,0.00055048,0.00055415,0.00055417,0.00055654,9.24E-06,-1.81E-08,3.40E-06,-3.01E-08,0.00055658,-0.39863
-132.2,12.799,0.090076,0.17551,1.2531,2.7896,-22.43,0.003049,-0.16602,0.00035048,0.00035415,0.00035417,0.00035654,9.24E-06,-1.81E-08,3.40E-06,-3.01E-08,0.00035658,-0.14732
312.8,-15.201,0.080076,-0.03449,-0.54689,-3.2104,7.5698,0.017049,-0.066022,-4.95E-05,5.42E-05,5.42E-05,5.65E-05,-0.00019076,-1.81E-08,3.40E-06,-3.01E-08,5.66E-05,0.25815
145.8,-15.201,-0.33992,-0.10449,0.25311,4.7896,5.5698,-0.005951,0.033978,0.00025048,0.00025415,0.00025417,0.00025654,9.24E-06,-1.81E-08,3.40E-06,-3.01E-08,0.00025658,-0.20448
277.8,78.799,-0.54992,-0.01449,-0.84689,1.7896,-1.4302,0.004049,-0.066022,0.00035048,0.00025415,0.00025417,0.00015654,0.00010924,-1.81E-08,3.40E-06,-3.01E-08,0.00015658,-0.14732
-26.204,-15.201,-0.43992,-0.12449,0.15311,3.7896,8.5698,-0.007951,-0.066022,0.00015048,5.42E-05,5.42E-05,-4.35E-05,0.00010924,-1.81E-08,0.0001034,-3.01E-08,-4.34E-05,0.18118
355.8,2.7988,0.42008,-0.08449,-1.4469,3.7896,4.5698,0.013049,0.13398,0.00055048,0.00055415,0.00055417,0.00055654,9.24E-06,-1.81E-08,3.40E-06,-3.01E-08,0.00055658,-0.041959
-606.2,49.799,-0.039924,-0.00449,1.4531,5.7896,-5.4302,-0.011951,0.13398,0.00025048,0.00025415,0.00025417,0.00025654,9.24E-06,-1.81E-08,3.40E-06,-3.01E-08,0.00025658,-0.20448
-374.2,-19.201,-0.34992,-0.04449,-0.44689,2.7896,1.5698,0.004049,0.13398,0.00025048,0.00025415,0.00025417,0.00025654,9.24E-06,-1.81E-08,3.40E-06,-3.01E-08,0.00025658,-0.14732
-159.2,-48.201,0.16008,0.01551,1.6531,1.7896,-3.4302,-0.031951,-0.36602,-0.00034952,-0.00034585,-0.00034583,-0.00034346,9.24E-06,-1.81E-08,3.40E-06,-3.01E-08,-0.00034342,-0.14732
85.796,-2.2012,-0.34992,0.03551,0.55311,5.7896,-12.43,-0.013951,1.034,0.00015048,0.00015415,0.00015417,0.00015654,9.24E-06,-1.81E-08,3.40E-06,-3.01E-08,0.00015658,-0.14732
67.796,4.7988,-0.10992,-0.19449,-0.94689,-0.21037,11.57,0.016049,0.73398,0.00035048,0.00035415,0.00035417,0.00035654,9.24E-06,-1.81E-08,3.40E-06,-3.01E-08,0.00035658,-0.20448
-459.2,-37.201,0.030076,0.09551,1.0531,-3.2104,-12.43,0.003049,1.234,5.05E-05,-4.58E-05,-4.58E-05,-4.35E-05,0.00010924,-1.81E-08,3.40E-06,-3.01E-08,-4.34E-05,-0.20448
108.8,-42.201,-0.66992,-0.14449,-0.84689,3.7896,8.5698,0.004049,0.33398,0.00025048,0.00025415,0.00025417,0.00025654,9.24E-06,-1.81E-08,3.40E-06,-3.01E-08,0.00025658,-0.32964
-442.2,17.799,-0.43992,-0.04449,1.1531,-0.21037,7.5698,-0.014951,-0.96602,-0.00024952,-0.00024585,-0.00024583,-0.00024346,9.24E-06,-1.81E-08,3.40E-06,-3.01E-08,-0.00024342,-0.20448
183.8,-31.201,0.23008,0.06551,-0.24689,-4.2104,-2.4302,0.010049,-0.066022,5.05E-05,5.42E-05,5.42E-05,5.65E-05,9.24E-06,-1.81E-08,3.40E-06,-3.01E-08,5.66E-05,-0.093252
50.796,62.799,-0.41992,0.17551,-1.3469,-5.2104,-6.4302,0.009049,-1.666,-0.00014952,-0.00014585,-0.00014583,-0.00014346,9.24E-06,-1.81E-08,3.40E-06,-3.01E-08,-0.00014342,0.097803
132.8,6.7988,0.18008,-0.04449,0.15311,-4.2104,9.5698,0.004049,0.033978,-4.95E-05,-4.58E-05,-4.58E-05,-4.35E-05,9.24E-06,-1.81E-08,3.40E-06,-3.01E-08,-4.34E-05,-0.14732
330.8,2.7988,0.34008,-0.12449,-2.2469,-2.2104,14.57,0.026049,0.13398,0.00045048,0.00045415,0.00045417,0.00045654,9.24E-06,-1.81E-08,3.40E-06,-3.01E-08,0.00045658,0.0068313
193.8,2.7988,0.20008,-0.09449,0.75311,4.7896,5.5698,0.001049,-0.066022,0.00035048,0.00035415,0.00035417,0.00035654,9.24E-06,-1.81E-08,3.40E-06,-3.01E-08,0.00035658,-0.14732
284.8,-18.201,0.38008,-0.03449,-0.54689,2.7896,1.5698,0.009049,-0.36602,0.00035048,0.00035415,0.00035417,0.00035654,9.24E-06,-1.81E-08,3.40E-06,-3.01E-08,0.00035658,-0.041959
-233.2,18.799,-0.42992,0.01551,0.35311,-2.2104,-8.4302,-0.019951,1.834,-0.00034952,-0.00034585,-0.00034583,-0.00034346,0.00010924,-1.81E-08,3.40E-06,-3.01E-08,-0.00034342,-0.14732
-222.2,-25.201,-0.47992,0.02551,-0.44689,-0.21037,-2.4302,-0.010951,-0.16602,-0.00014952,-0.00034585,-0.00034583,-0.00054346,0.00020924,-1.81E-08,0.0002034,-3.01E-08,-0.00054342,0.25815
-252.2,-20.201,-0.15992,0.09551,1.4531,0.78963,-12.43,-0.031951,-0.16602,-0.00034952,-0.00034585,-0.00034583,-0.00034346,9.24E-06,-1.81E-08,3.40E-06,-3.01E-08,-0.00034342,-0.20448
-140.2,-10.201,-0.039924,-0.05449,-0.14689,3.7896,2.5698,-0.003951,0.033978,0.00025048,0.00025415,0.00025417,0.00025654,9.24E-06,-1.81E-08,3.40E-06,-3.01E-08,0.00025658,-0.20448
305.8,2.7988,0.37008,-0.06449,0.55311,4.7896,2.5698,0.003049,0.13398,0.00035048,0.00035415,0.00035417,0.00035654,9.24E-06,-1.81E-08,3.40E-06,-3.01E-08,0.00035658,-0.093252
-74.204,5.7988,-0.68992,0.01551,-0.54689,2.7896,-5.4302,-0.007951,0.13398,0.00015048,5.42E-05,5.42E-05,5.65E-05,0.00010924,-1.81E-08,3.40E-06,-3.01E-08,5.66E-05,-0.14732
9.7958,-10.201,0.15008,0.03551,0.55311,-7.2104,5.5698,-0.006951,0.43398,-0.00044952,-0.00044585,-0.00044583,-0.00044346,9.24E-06,-1.81E-08,3.40E-06,-3.01E-08,-0.00044342,-0.041959
-147.2,-14.201,-0.46992,-0.09449,0.053106,4.7896,8.5698,-0.019951,0.033978,0.00015048,-4.58E-05,-4.58E-05,-4.35E-05,0.00020924,-1.81E-08,3.40E-06,-3.01E-08,-4.34E-05,-0.32964
-335.2,-0.20122,0.22008,0.03551,0.65311,-4.2104,-3.4302,-0.001951,1.734,-0.00034952,-0.00024585,-0.00024583,-0.00014346,-0.00019076,-1.81E-08,-0.0001966,-3.01E-08,-0.00014342,0.0068313
-437.2,-31.201,-0.34992,-0.17449,0.35311,4.7896,17.57,-0.002951,-0.066022,0.00035048,0.00035415,0.00035417,0.00035654,9.24E-06,-1.81E-08,3.40E-06,-3.01E-08,0.00035658,-0.39863
401.8,-29.201,-0.10992,-0.01449,-0.74689,-2.2104,3.5698,0.014049,0.033978,0.00015048,0.00015415,0.00015417,0.00015654,9.24E-06,-1.81E-08,3.40E-06,-3.01E-08,0.00015658,0.0068313
-120.2,-11.201,-0.059924,-0.17449,-1.8469,-5.2104,22.57,0.028049,0.43398,0.00025048,0.00025415,0.00025417,0.00025654,9.24E-06,-1.81E-08,3.40E-06,-3.01E-08,0.00025658,-0.32964
148.8,30.799,0.090076,0.01551,-0.84689,-0.21037,-4.4302,0.015049,0.13398,0.00035048,0.00035415,0.00035417,0.00035654,9.24E-06,-1.81E-08,3.40E-06,-3.01E-08,0.00035658,0.097803
-161.2,-13.201,0.35008,0.08551,1.0531,-3.2104,-16.43,-0.029951,1.034,-0.00054952,-0.00054585,-0.00054583,-0.00054346,9.24E-06,-1.81E-08,3.40E-06,-3.01E-08,-0.00054342,-0.14732
-472.2,-17.201,-0.12992,-0.15449,1.9531,6.7896,8.5698,-0.018951,0.63398,0.00025048,0.00015415,0.00015417,0.00015654,9.24E-06,-1.81E-08,3.40E-06,-3.01E-08,0.00015658,-0.32964
