x,x,x,x,x,x,x,x,f
-1.7034,-0.71068,0.52994,1.3529,0.38957,-1.4429,0.26322,0.28905,1.4012
-0.5417,0.2925,-0.33275,0.3692,1.5721,0.47275,1.0451,1.5134,0.28839
-0.2061,-0.73907,1.6485,0.15647,0.69674,-0.99069,0.34345,0.30304,0.30135
0.16682,-1.0485,0.082621,0.61836,-1.501,-0.19833,0.54106,-0.55852,-1.2778
-1.5919,-1.4171,0.11761,1.0361,-0.04371,0.45993,-0.058156,1.6445,0.94442
-0.40478,-0.32953,-1.3237,-1.1213,1.532,-1.242,-0.62643,0.35593,-1.4521
-1.6203,0.25648,0.66979,-1.0314,-0.30581,-0.69191,1.3602,-0.88143,0.83
0.13969,-1.0835,1.4561,1.2042,-0.78794,0.4635,1.6368,0.53033,0.60715
0.13529,-1.6567,1.195,0.16161,1.6795,-1.5844,-1.5199,1.3744,-1.6138
0.058554,1.4836,0.83452,0.3473,-1.267,-0.71363,1.3265,1.6668,0.34927
-0.0076317,-0.30523,1.5647,-0.32996,1.1489,-0.25583,1.3036,1.1288,-0.42215
1.6167,-1.3622,0.28284,-0.39321,0.041034,-0.59125,0.0063652,-1.4768,1.0354
0.47409,-0.73972,-1.0209,0.4619,-1.5634,0.19427,-0.79627,-0.64763,-1.1379
-0.31644,-1.0024,0.16949,0.21325,1.0806,0.48869,-0.84994,1.0347,1.0478
-1.0897,0.23899,1.0776,-0.69492,-1.4915,-1.2937,-1.0896,-1.1733,0.086843
1.4296,-0.99993,1.0951,0.46521,-0.26437,0.97067,0.04708,1.7233,-0.10759
-1.5751,-0.52669,-0.3575,0.236,-1.169,0.81212,1.6277,0.3408,0.48348
0.44104,1.4558,0.5641,0.87551,1.582,0.57901,-0.72424,0.55247,1.6807
0.58744,1.662,-0.63002,0.57787,-1.0027,-0.5885,0.99398,-0.17929,-1.0247
0.85144,0.59454,-0.44879,-0.49409,-0.18127,0.28129,0.085726,-0.61444,0.47168
-0.30368,-1.3904,1.5317,0.28773,0.27718,1.3841,-0.37634,-1.0646,-1.3259
-1.3028,-1.6402,-1.3815,0.94223,1.0515,-1.2011,1.5648,-1.6529,-0.10224
-1.5542,0.2367,0.10264,0.45641,1.0152,-0.1813,0.17802,-1.2509,0.038433
1.1516,0.34168,1.4236,0.59521,0.67105,-0.55463,-1.0781,-0.23174,0.41125
0.22211,0.31526,0.83196,-0.13812,1.6575,0.93164,-1.648,-1.3044,0.0052694
-1.1638,-1.3818,-1.4252,0.80805,0.2774,1.1929,-0.7032,0.10987,0.37774
1.1909,-1.0088,0.27133,-0.065237,-1.2185,0.47288,1.0087,0.67498,0.02667
-0.43121,0.18578,1.4693,0.30771,0.87569,-1.3594,-0.52527,-0.020915,0.64829
-1.4856,-1.1186,1.5828,0.81358,1.0186,-1.4808,-0.60871,-0.77245,0.26961
-0.50779,-1.0188,-0.066209,-0.69878,0.97488,-1.3184,-0.075097,-0.49218,0.59551
-0.56671,1.1611,1.2564,0.89956,0.22067,-0.40798,-0.80969,-0.10939,0.92277
-0.79373,-0.82156,-0.91796,-1.5001,1.486,0.81546,-0.9542,-0.85869,1.6679
-0.26973,0.82731,0.84045,-1.4415,0.129,-1.2816,0.33295,-0.75528,0.57232
0.051098,-0.087709,0.40509,-1.054,-0.89458,0.21643,0.9193,1.0656,0.26311
0.11364,-1.1003,-0.46175,0.69157,-1.5259,-0.14299,-1.1871,1.2818,1.6222
1.3943,-0.54209,-1.3196,-1.3615,0.97872,1.6617,0.42742,0.68422,0.60052
1.1328,-1.4248,-1.0989,0.28455,0.52509,-0.52529,0.30177,1.1152,1.3774
0.73205,-1.3894,1.6538,0.97526,0.93635,-0.58911,0.20507,1.0845,-0.90361
-1.6407,0.99641,-0.69668,1.2795,0.01235,1.2941,0.60314,0.54173,-1.4521
-1.1413,0.29938,0.6232,-0.43621,-1.3922,-0.066619,-1.5885,-0.43853,0.35809
0.10513,-0.62415,1.0248,0.27961,-0.43185,0.31491,-0.69383,-1.1994,-0.28901
1.1539,-1.5278,-1.6476,-0.19255,0.069887,0.60175,0.4054,-1.5641,-0.025879
-1.1734,0.51058,1.0446,-0.28097,1.3317,1.5241,-0.51167,0.72723,-0.3571
-1.5729,-0.24828,-1.2587,1.6066,-0.53313,0.81364,-1.4593,-1.3174,-1.033
-1.5595,-1.2853,-0.24796,-1.6389,0.085807,-0.76182,-0.60216,0.6395,-1.9041
0.82078,0.5632,0.36467,0.24849,1.7138,1.4799,0.29941,-1.3332,-1.5607
-1.519,0.51913,0.69298,-1.6099,-1.6588,-0.16112,1.1954,-0.70569,1.1193
0.7124,0.53705,0.75101,-0.66477,-0.52963,0.61378,-1.2856,0.60345,0.19286
1.6107,0.84402,-1.4369,-1.5842,-0.71279,0.42657,-0.33795,0.35278,-1.5123
-1.496,-0.54225,0.42542,1.6085,0.12668,-0.87854,1.2102,0.12142,-0.85897
0.81369,-1.6138,1.1107,-1.5001,0.89062,-0.69697,0.097359,1.3185,-1.3852
0.44229,-1.0244,0.84243,0.89358,-0.82525,-0.16251,-0.00096045,1.0889,0.6398
1.7121,0.8277,0.78731,0.43926,1.4643,1.5392,0.96183,-1.2724,-1.0177
-0.92443,1.2624,-0.42731,-0.036377,0.051209,-1.3354,1.3737,0.21328,1.1911
0.89131,0.73104,1.246,-0.21377,1.1424,1.0408,0.060264,-0.5138,0.10322
0.65299,-1.1212,0.018477,-0.78841,0.33506,-0.85596,-0.085217,0.68464,-0.36219
-0.29609,0.78698,1.1877,1.1975,-1.3647,1.5941,-0.87958,-1.4081,-0.31573
0.8948,-1.1072,1.43,0.11068,1.683,1.3177,-0.092212,0.14974,-1.1062
0.39536,-1.6314,0.70341,-1.446,0.30599,0.14564,1.3944,-0.79455,0.67503
1.3206,-1.581,0.59958,-0.090301,-0.054274,-0.077714,1.0463,0.68582,1.0916
0.011579,-0.43157,-0.72294,-0.60479,-1.4041,-0.10833,0.728,-1.6582,0.17203
-0.83048,0.08751,-1.6862,-1.6495,-1.1497,1.6106,-1.6926,-0.94999,-1.2729
-0.039556,-0.4758,1.717,-0.6936,-0.3577,-1.335,-1.3348,0.94313,-0.30086
0.21051,1.2331,0.12437,0.007603,1.3045,-0.34424,-1.0741,-1.3197,1.2693
-1.2897,-1.6037,1.4088,0.16112,0.69996,0.10504,-1.4561,1.5695,-0.20214
1.0431,1.6036,1.0303,0.9708,0.96951,0.06149,1.0857,-0.31362,-0.13757
0.26224,1.2773,1.0136,-1.647,0.15839,-0.68724,1.5613,-1.2217,1.0352
-0.29298,-0.15101,1.6069,-1.2815,0.88362,-0.97208,1.5804,1.251,0.42761
0.57089,1.0623,-0.50508,0.81568,-0.54197,1.3589,-0.22488,1.1055,-0.78045
1.546,-1.2453,0.18944,-1.3287,1.3335,-0.45061,0.16226,0.049921,0.13804
-1.5926,1.058,0.54281,0.80688,0.58532,1.3518,0.84815,0.29023,-2.6659
-0.97315,-0.74518,1.4961,0.43788,-1.273,-1.4616,-0.75751,-1.0506,1.1539
0.8765,0.4298,-1.2284,0.95668,-1.0492,0.70201,-0.66355,-1.5461,-1.5226
0.48468,-1.4396,-0.97446,0.61822,-1.2861,-1.445,-0.13108,0.8603,1.7104
-1.7297,-0.48341,-0.083665,1.4942,-0.36942,-0.92686,-1.5558,1.3726,0.61938
0.52897,1.4143,0.29745,1.6771,-0.84843,1.213,0.69439,-0.95899,1.5657
0.584,0.26015,-0.58028,0.06783,1.1261,-0.55548,1.5309,-1.5899,-1.185
-0.086452,0.23407,-0.62733,1.2839,1.165,-1.6398,-1.6087,0.33947,-2.4021
-0.91566,-0.99894,-1.2492,0.98993,-1.6319,-0.65846,-0.053452,1.5917,1.5172
-0.57796,-1.3563,0.14771,1.381,0.46484,-0.22856,-1.1588,1.6979,0.46028
-0.41049,-0.40022,-1.6947,0.73407,0.2368,-1.6229,0.64487,1.1969,0.13263
1.0009,-1.5909,-1.0968,-1.1388,0.57746,-0.63183,1.2966,0.58504,1.7754
0.54061,0.9008,1.6491,1.1772,1.0687,0.23128,1.0063,0.37744,0.027422
-0.21128,1.201,-0.79309,-1.7232,-0.76123,-0.012512,-1.4064,0.89163,-0.89789
-0.70894,1.2828,-0.97593,-1.0837,-0.95575,1.1745,1.4266,0.37639,1.1323
0.61904,1.3743,0.0055423,-1.3227,0.30348,-0.93399,0.060282,-1.0446,0.99669
-0.40145,0.51237,1.2754,0.54335,-0.68711,1.0613,1.1149,0.77977,-1.0006
0.23472,1.1563,1.4915,-0.81872,0.92907,-0.041771,0.4966,1.5943,0.67624
0.71188,-1.7018,1.0997,1.5813,-0.86714,-1.1261,1.6415,0.84872,0.33055
0.91647,1.2765,0.55458,1.0969,-1.7011,-1.2468,0.97084,1.0261,1.1077
-0.19248,0.68993,1.6722,0.82165,-1.6627,0.98186,1.6653,-0.74589,2.0683
-1.1391,-1.3779,-1.1082,-1.084,0.22188,-0.41034,0.30392,0.11596,1.3237
