2021-04-09 15:11:52,484 INFO    MainThread:25256 [wandb_setup.py:_flush():69] setting env: {}
2021-04-09 15:11:52,485 INFO    MainThread:25256 [wandb_setup.py:_flush():69] setting login settings: {}
2021-04-09 15:11:52,485 INFO    MainThread:25256 [wandb_init.py:_log_setup():336] Logging user logs to C:\Users\Leo Huang\Desktop\GP-Derivatives-Variational-Inference\experiments\wandb\run-20210409_151152-3g5dccj8\logs\debug.log
2021-04-09 15:11:52,485 INFO    MainThread:25256 [wandb_init.py:_log_setup():337] Logging internal logs to C:\Users\Leo Huang\Desktop\GP-Derivatives-Variational-Inference\experiments\wandb\run-20210409_151152-3g5dccj8\logs\debug-internal.log
2021-04-09 15:11:52,485 INFO    MainThread:25256 [wandb_init.py:init():369] calling init triggers
2021-04-09 15:11:52,494 INFO    MainThread:25256 [wandb_init.py:init():376] wandb.init called with sweep_config: {}
config: {}
2021-04-09 15:11:52,494 INFO    MainThread:25256 [wandb_init.py:init():418] starting backend
2021-04-09 15:11:52,494 INFO    MainThread:25256 [backend.py:_multiprocessing_setup():71] multiprocessing start_methods=spawn, using: spawn
2021-04-09 15:11:52,498 INFO    MainThread:25256 [backend.py:ensure_launched():123] starting backend process...
2021-04-09 15:11:52,567 INFO    MainThread:25256 [backend.py:ensure_launched():128] started backend process with pid: 5096
2021-04-09 15:11:52,567 INFO    MainThread:25256 [wandb_init.py:init():423] backend started and connected
2021-04-09 15:11:52,568 INFO    MainThread:25256 [wandb_init.py:init():463] updated telemetry
2021-04-09 15:11:52,568 INFO    MainThread:25256 [wandb_init.py:init():482] communicating current version
2021-04-09 15:11:53,546 INFO    MainThread:25256 [wandb_init.py:init():487] got version response 
2021-04-09 15:11:53,546 INFO    MainThread:25256 [wandb_init.py:init():495] communicating run to backend with 30 second timeout
