2021-04-09 15:17:32,086 INFO    MainThread:9076 [wandb_setup.py:_flush():69] setting env: {}
2021-04-09 15:17:32,087 INFO    MainThread:9076 [wandb_setup.py:_flush():69] setting login settings: {}
2021-04-09 15:17:32,087 INFO    MainThread:9076 [wandb_init.py:_log_setup():336] Logging user logs to C:\Users\Leo Huang\Desktop\GP-Derivatives-Variational-Inference\experiments\wandb\run-20210409_151732-2rerv0hn\logs\debug.log
2021-04-09 15:17:32,087 INFO    MainThread:9076 [wandb_init.py:_log_setup():337] Logging internal logs to C:\Users\Leo Huang\Desktop\GP-Derivatives-Variational-Inference\experiments\wandb\run-20210409_151732-2rerv0hn\logs\debug-internal.log
2021-04-09 15:17:32,087 INFO    MainThread:9076 [wandb_init.py:init():369] calling init triggers
2021-04-09 15:17:32,087 INFO    MainThread:9076 [wandb_init.py:init():376] wandb.init called with sweep_config: {}
config: {}
2021-04-09 15:17:32,088 INFO    MainThread:9076 [wandb_init.py:init():418] starting backend
2021-04-09 15:17:32,088 INFO    MainThread:9076 [backend.py:_multiprocessing_setup():71] multiprocessing start_methods=spawn, using: spawn
2021-04-09 15:17:32,092 INFO    MainThread:9076 [backend.py:ensure_launched():123] starting backend process...
2021-04-09 15:17:32,162 INFO    MainThread:9076 [backend.py:ensure_launched():128] started backend process with pid: 16464
2021-04-09 15:17:32,163 INFO    MainThread:9076 [wandb_init.py:init():423] backend started and connected
2021-04-09 15:17:32,164 INFO    MainThread:9076 [wandb_init.py:init():463] updated telemetry
2021-04-09 15:17:32,164 INFO    MainThread:9076 [wandb_init.py:init():482] communicating current version
2021-04-09 15:17:33,176 INFO    MainThread:9076 [wandb_init.py:init():487] got version response 
2021-04-09 15:17:33,176 INFO    MainThread:9076 [wandb_init.py:init():495] communicating run to backend with 30 second timeout
2021-04-09 15:17:33,494 INFO    MainThread:9076 [wandb_init.py:init():520] starting run threads in backend
2021-04-09 15:17:33,624 INFO    MainThread:9076 [wandb_run.py:_console_start():1524] atexit reg
2021-04-09 15:17:33,625 INFO    MainThread:9076 [wandb_run.py:_redirect():1371] redirect: SettingsConsole.WRAP
2021-04-09 15:17:33,625 INFO    MainThread:9076 [wandb_run.py:_redirect():1414] Wrapping output streams.
2021-04-09 15:17:33,625 INFO    MainThread:9076 [wandb_run.py:_redirect():1438] Redirects installed.
2021-04-09 15:17:33,625 INFO    MainThread:9076 [wandb_init.py:init():544] run started, returning control to user process
2021-04-09 15:17:33,627 INFO    MainThread:9076 [wandb_config.py:__setitem__():141] config set learning_rate_hypers = 0.01 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001DA7AE7F3C8>>
2021-04-09 15:17:33,627 INFO    MainThread:9076 [wandb_run.py:_config_callback():749] config_cb learning_rate_hypers 0.01 None
2021-04-09 15:17:33,627 INFO    MainThread:9076 [wandb_config.py:__setitem__():141] config set learning_rate_ngd = 0.1 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001DA7AE7F3C8>>
2021-04-09 15:17:33,627 INFO    MainThread:9076 [wandb_run.py:_config_callback():749] config_cb learning_rate_ngd 0.1 None
2021-04-09 15:17:33,628 INFO    MainThread:9076 [wandb_config.py:__setitem__():141] config set lr_sched = step_lr - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001DA7AE7F3C8>>
2021-04-09 15:17:33,628 INFO    MainThread:9076 [wandb_run.py:_config_callback():749] config_cb lr_sched step_lr None
2021-04-09 15:17:33,628 INFO    MainThread:9076 [wandb_config.py:__setitem__():141] config set num_contour_quadrature = 15 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001DA7AE7F3C8>>
2021-04-09 15:17:33,628 INFO    MainThread:9076 [wandb_run.py:_config_callback():749] config_cb num_contour_quadrature 15 None
2021-04-09 15:17:33,681 INFO    MainThread:9076 [wandb_watch.py:watch():39] Watching
